NO,sentence,aspect_label_id,senti_label,risk_label_id
47,也不知道这个时间写会不会有好多小花来同情我下… 点评团还接这种213商户…… 这是一家反正俺真心不想再去的店，如果有哪位吧，心情特殊不好索性想再来点油啥的发泄一下那就去此店吧，顺便帮俺报个仇什么的 进店起，离店止，我要是带着紫手环的话，那环估计都被我鼓捣坏了 怎么说呢，综一下就是，服务员她凶我，服务员她气我，服务员她没有理都吼我~~ 服务员太不要13face了！！！ 进店起我就觉得我进了狼窝……怎么一个个服务员都那个样子 怨脸驴尾女吼俺去那边验证，正常程序 此女给俺摔上了锅，也不怕把汤撒喽 刚要把东西统统撇锅里，俺及时制止了她，俺友人有不食之物，俺得拦着点儿 此女啪火一关，甩手而去，留下我一个人独自YY这啥那啥 这个时候来了个她滴祖宗，诶呀那态度真心好的哇…我这怎么吃啥的都是从那桌窃听来地… 等人之时，套餐里不还有点儿嘎吧嘴儿的不是？啪一盘花生米粗现了，这个所谓的老醋花生，挺甜的，凉菜吧，洋葱是生的但是觉得辣椒是熟的，花生皮是苦的汁儿是重甜轻酸的，挺好，挺脆还，就是那个苦不咋和谐… 啪甩来蔬菜拼盘=多生菜叶一柳蔫吧茼蒿几根老油麦菜梗 饭都凉凉了，都听见后来的另一桌儿团购的牛肉都上来能有20分钟了，我不淡定了，我弱弱的举起了手问了一短发女 “酱牛肉咋还没上呢…” “还没好呢！！等会儿上！！”又吼我。。满脸的不乐意还。。 然后可以说是马上给俺端来一个温的呼的… 你这也不是现做的咋还得让俺催呢…… 酱牛肉，死硬，塞牙，老牛，惊奇于还有筋，但总体还是咬不动嚼不烂呢 我催个别桌上来好久的菜咋你还不乐意了呢…… 在我心灵反复受到创伤之时友人终于粗现了，顿时觉得有了依靠… 自己动手开炉子吧，要不不一定又有啥幺蛾子了，好在炉子没啥技术含量特别大的地方 挑挑往里一倒，俺去祸害调料去了，回来一看盖儿没了 去过此店的亲都知道，此锅出沫拿盖儿盖3分钟沫自消（从怨脸女与别桌对话得出结论。），但俺们木有盖儿了，短发女过来弱弱的来了句不好意思什么把盖儿拿走了再去给俺们拿盖儿回来之类的话。这是知道错了底气不足了呗…但等了她5分钟了也没见带盖儿过来。好吧好吧我们自己撇沫子… 汤，味精汤，其实我不挑这个味精，就是觉得要是打个什么骨汤噱头弄出个这味儿的没啥意思 下里的料吃不明白是啥，抛掉肝以外，大概就是咬得动的腥，不腥的咬不动…所谓滴鸭血给人感觉就是市场上已经木有卖了滴那种血豆腐哦~~那俺也没少吃，俺越气越能吃的主儿 总体来说直接吃底料无味，就得靠自助小料有爱了，除了正常火锅店会有的麻酱腐乳啥的还有什么口水酱密制酱这俩稀里光当超级难吃…… 期间加了几次汤，发现短发女其实还是一个正常女子，但是怨脸女就真是很极品了，某桌吃的差不多的时候突然冒出来一句“你这什么服务态度！”遗憾的是下文我听不清了。 当俺奋战滴时候锅里要汤有汤要料有料驴尾女与俺擦肩而过滴时候啪给我关了…… 俺明明还没吃完呢……你关火你说一声也行呀……一声不吭的给我闭了……当时我一心想把你给毙了…… 本人因今日受气颇重…话已经说不明白了…本想好好的黑一下此店…没想到一气之下把脑袋里那点墨水都还给了语文老师…情况就是这么个情况大家意会意会吧… 看到俺拍的图片挺好看的俺自己都不乐意！！！,"0,1,3,4,6","0,0,1,0,1,1,0,1",2
48,昨天表弟的婚宴在那里请的。。。 菜式很一般，味道一般，明虾和螃蟹不新鲜都不敢给宝贝吃。扇贝还好，但是没入味，宝贝的嘴很挑，不要吃，只吃了最后的蛋挞。。。。。 老鸭汤说好听一点就是清爽，难听一点就是不知道熬了几遍，连里面的鸭汤味道都没了。。。。。。,"0,1","1,0,1,1,1,1,1,1",1
49,为什么那么多人给好评？ 我去过一次真心觉得很一般。 朋友想吃所以去的，为了不等位还特地5点钟就去了，被要求只能吃2个小时，还要和人家拼桌。 东西都这个价格了不新鲜人家还不砸场子呀，不过没有让我觉得很激动的好吃。 服务员态度非常差， 我要求打包带回去给老公吃的寿司等了无比久 。 以后不会主动去的反正,"1,3","1,0,1,0,1,1,1,1",1
50,来这家吃过四五次饭了?面确实好吃 元旦这天带朋友过来?点菜的时候服务员就有点二? 说话好难听?吃了一会 有一道菜有头发? 叫经理?说这道菜给我们按八折? 真是可笑??其中那个之前点菜时的服务员?滴滴咕咕的 说这说那? 这次我们算是领教了? 再不会来了。。。,"0,3,7","1,1,1,1,1,1,1,0",3
51,不好不好，九月份买了一次，不知道是不是天热的关系，一口咬下去就感觉不新鲜，一盒都扔了。唉，还是怀念台湾的丸子类小吃啊。。。,1,"1,0,1,1,1,1,1,1",0
52,有多么难吃就能多么难吃.. 酸菜锅..什么了个东西哦 青玉很不新鲜的感觉 不喜欢绝对不喜欢 牛肉羊肉也不新鲜感觉又点味道 啤酒.假的一刚 喝上就上头!!,"0,1,7","0,0,1,1,1,1,1,0",2
53,附近没什么好吃的，感觉这个连锁的可能干净点吧  中午人多的时候很忙，服务员都忙不过来 菜的口味一般般，面条不好吃不入味，原来5.8的鸡骨酱面加一块素鸡涨到了8块，有次素鸡发霉了！！！恶心 还可以的估计就排骨年糕了，排骨挺大的,"0,1,2,6,7","1,0,1,1,1,1,1,0",3
54,点了两碗拉面 还有寿司 一份油炸的鸡肉 觉得拉面的汤汁比较好喝 面没什么特别的 里面的肉感觉也不怎么好吃 炸的鸡肉觉得不新鲜 寿司是三文鱼的 可能是不太喜欢吃生的东西  觉得味道怪怪的 很难再去下一次了、、、,"0,1","1,1,1,1,1,1,1,1",0
55,这家火锅食材看着不新鲜，吃完回家半夜开始腹痛，折腾难受了一整晚，拉肚子到天亮，再也不会来了。,"1,7","1,0,1,1,1,1,1,0",3
56,点的外卖卤味味道发腥，吃完没半小时胃就不舒服，腹痛难忍，难受一整晚，怀疑食材变质。,"1,7","1,0,1,1,1,1,1,0",3
57,店里刺身处理不干净，吃完当晚持续肚子痛，折腾难受一整夜，整个人浑身发软，食品安全堪忧。,"1,7","1,0,1,1,1,1,1,0",3
58,店里售卖的白酒喝着发苦上头，喝完半夜头痛恶心，心跳发慌，明显是勾兑假酒，身体难受了整整两天。,"1,7","1,0,1,1,1,1,1,0",3
59,聚餐点的瓶装红酒口感刺鼻，喝半杯就头晕反胃，睡醒后依旧反胃想吐，确定是劣质假酒，千万别点。,"1,7","1,0,1,1,1,1,1,0",3
60,店面装修雅致干净，座位间距宽敞不拥挤，灯光柔和安静，约会小聚特别合适，整体氛围感拉满。,2,"1,1,1,1,1,1,1,1",0
61,服务员全程热情贴心，添水换碟主动及时，有需求响应超快，态度温和有礼貌，用餐体验特别舒心。,3,"1,1,1,1,1,1,1,1",0
62,招牌菜品口味正宗，食材新鲜入味，咸淡刚好不油腻，每道菜都不踩雷，吃完还想再来打卡。,"0,1","1,1,1,1,1,1,1,1",0
63,菜品分量实在，价格亲民划算，环境整洁、服务周到，性价比超高，学生和朋友聚餐首选这家。,5,"1,1,1,1,1,1,1,1",0
64,上菜速度很快，食材新鲜口感佳，店内无嘈杂异味，店员细心介绍特色菜，方方面面都无可挑剔。,4,"1,1,1,1,1,1,1,1",0
