text,dim_labels,sentiment_labels,risk_label,text_length
每次走到这里都排很多人，春节期间跟朋友去以为不用等位，没想到还是人很多。 打定主意就拿了号排队，叫好速度还是很快的，后来才知道原因 满满几大页食物，让我这有选择障碍的人实在挠头 按点评的网友推荐选了几个，杨枝甘露，芒果班戟，还有拼的芝麻糊 说实话没吃出杨枝甘露和班戟比其他地方的甜品有什么特殊，芝麻糊还是挺满意的，很细滑 照理说吃甜品是个享受的事儿，可是人一多了破坏了不少气氛，坐我们邻桌的从点单到吃完出门也就十几分钟的样子 我跟朋友是逛累了想吃个甜品休息下，结果刚吃完服务员就过来问我们是不是吃完了 原话不记得了意思就是讲说只有吃东西才可以坐在这里，我们吃完了就不能坐着了 其实我也理解外面等位的人很心急，但是作为服务业是不是应该以服务为先 出了这样的状况，生意太好地方不够，应该是老板该想办法扩充场地，把吃完的客人轰走实在让我消费的不爽 大家消费不就图个心里痛快嘛，一次不好的经历，还排队，以后还是不去了,"0,1,4","1,0,1,1,1,1,1,1",1,404
是我的口味与大家不同呢？还是那些好评是刷的？ 这个店，宽敞吗？门还是坏的。 东西吃起来感觉很不新鲜，我觉得我不会再去吃第二次了。,"1,2","1,1,1,1,1,1,1,1",0,64
在对面IOU整头发，所以叫了这间外卖。 吃的是很多人推荐的五宝云吞，首先分量真的很小一份，而且这个价钱感觉性价比很一般。好吃的云吞面家也不止它一家，也没那么贵。 而且感觉有点名过其实，五宝其中一宝小鲍鱼云吞，韧得不得了，其他也只是不过不失。,"0,7","1,1,1,1,1,1,1,0",3,120
牛肉丸还可以，但作为正宗的潮汕人还是不能满意。 羊肉和牛肉都不新鲜，而且牛肉有股羊肉的骚味。 服务很差，我们问服务员说这个牛肉怎么又股骚味，他说：“我怎么知道。” 环境一般，不是很干净。,"0,1,2,6","1,0,1,1,1,1,1,1",1,93
"想要烟熏三文鱼水波蛋,但是周一到周五没有这道菜 虾仁牛油果色拉.....不谈了,竟然都变质了,臭臭的 店家推荐的牛排汉堡,看上去很厚实阿,味道还可以,就是牛肉有点散,口感一般,不公不过吧 薯条+墨西哥辣椒酱的味道很对我胃口","0,1","1,0,1,1,1,1,1,1",3,111
海鲜这玩意季度两极化，要么是便宜的好吃拉肚子，要么是贵的超有品位。新港海鲜应当属于后者。最喜欢这里做的龙虾两吃。刺身，清脆爽口，煲粥 ，圆润鲜香。,"0,5,7","1,1,1,1,1,1,1,0",3,73
在大椰丰吃饭中毒啦。昨晚吃了那里的新菜，木耳蒸新鲜黄花菜，一桌人都吃倒了，一出门口就开始反胃，到家就上吐下泻，后来才想起来，可能是黄花菜中毒。大椰丰的师傅水平极低，居然不知道新鲜黄花菜很容易中毒，还拿出来做菜谱，酒楼也极其 不负责任，居然无人REVIEW菜谱，这样很容易吃死人的，正常人吃30毫克就会中毒死。太可怕了。提醒大家千万不要吃，以后到酒楼也不要吃什么新派菜式，因为师傅水平真有限。如果这种事情发生在国外，可以告到酒楼破产。,"1,7","1,1,1,1,1,1,1,0",3,216
环境我不知道是说旧好还是说脏好。进门就闻到异味，虽然很味道不大。 点的菜中除了一份炒饭颇有鄙人大学时期常在校门外一家苍蝇炒饭店的味道而外，其它都极其一般，而且卖相不佳。 服务很一般，服务员属于那种叫一下动一下的，也不怎么客气。 只去过一次，也只点了几个菜，去的时候中午，没有看到表演。也许晚上这里会更有气氛。就说这么多吧，希望店家努力改进。,"3,7","1,1,1,1,1,1,1,0",3,170
2010年的最后一餐晚饭，谢谢最亲爱的人。我们在一起经历了太多美好。新年的套餐没有选择，1000多一位的套餐着实把我心疼坏了。但是满盘珍馐真的是货真价实啊，最后上到甜品，亲爱的说拍张照片吧，实在吃不下了哈哈。主菜牛扒永远是我的爱，沙拉和餐前面包依旧美味，汤也是那么味道适中。最爱的甜品，据说有几款是米其林推荐，我瞬间又不行了，没起子哈哈。屋内的火炉，新年的气氛浓烈，各种面具。餐后两个人冒着飓风走向室外平台，美丽的前门夜景。夏天一定更有味道。和对的人在一起永远是幸福的,"0,1","1,0,1,1,1,1,1,1",1,234
"这边应该算是临时去的吧,不过还是事先让朋友给我电话预约了下 头发看不下去了,于是乎最近打理频率变的高了 正好有聚会,顺便也做一下造型来的 离舅舅家好近哦,交通还比较方便的呢 之前去过其他地方的，这边是新开的，还是比较放心地 找了事先约好的斌斌，告诉了下大概要求 护理我是肯定要做的啦，还是欧莱雅 刘海还是木有改，哎哎哎，还是继续留段时间吧 后面头上上次没怎么修，这次稍微修了下 斌斌还是比较仔细的，说现在这个长度比较尴尬 然后我强烈要求弄造型，正好晚上饭局啦 而且服务态度超级好的呀 效果出来还是很满意的，可以考虑下次再来的",7,"1,1,1,1,1,1,1,0",3,262
做生意要以不变应万变的，何况是服务行业？ 团购后打电话过去，想预约双休的，因为平时要上班的。被告知4月底之前全部约满。 让我平时去拍，我再三说了1-5因为要上班的，接电话的小姑娘竟然让我请假去拍，又不是拍婚纱照还要特地 请假，难道请假不用扣钱的吗？ 那我说4月底约满了也没办法，那能不能安排5月，我都可以等的，不急的。 接电话的客服就强调说团购的4月 底过期，不能安排后面的。 虽然团购的时间是到4月底为止，但这个也是商家自己定的时间啊~ 做生意要以不变应万变的，何况是服务行 业？?算了，我还是直接退团吧。省的麻烦。 提醒大家以后团购的话一定要事先问清楚商家再团哦~！,1,"1,0,1,1,1,1,1,1",1,285
肉夹馍确实好吃，肉香馍脆，美得很！酸辣粉没的说，料足量多，味道也很好，都是用心做出来的。以前误以为樊家和樊记是同一家呢，樊记确实垃圾，肉夹馍里吃出苍蝇都忍了，汤里也有过！樊家还没这些毛病，很好！,"0,7","1,1,1,1,1,1,1,0",3,97
"近日在他家买了一份排骨饭,吃得我们全家上吐下泻的。以前在他家吃过还可以，没想到这次中奖了，可惜没保留收据单，否则就去法院告它了。请大家多多注意吧~下次买完快餐，一定要保留收据。","4,7","1,1,1,1,1,1,1,0",3,88
20111113更新 ============================== 尼玛三个人吃麻辣烫吃了84元，关键是没点多少，外面最多40元了 尼玛好吃一点也就算了，东西不新鲜，那是啊这么贵肯定吃的人不会多的，东西流转就慢 尼玛这种地方也是一次性的店，如果再来我名字倒着写，尼玛 手机的网线找不到了，看我头五头六的，拍的照片自己无法上传了，这里还没有人传过照片了呢，呜呜～～～～ 昨天去步行街，印象中ＲＡＲＡ说到过这里的麻辣烫，正好自己嘴馋的很，于是欣然前往～～ 这里的麻辣烫做的蛮正规，虽然生意很好等待时间却不算很长，汤底３元，可以在粉丝和鸭血中选择一样，我挑了后者～～ 另外偶还点了香肠，里脊肉，蟹肉棒，金针菇，菌菇等，都蛮好吃的就是价格稍微高了一点，一共１７元～～ 小工的态度真是吓人，生意好了不起啊，要他拿副筷子也死样怪气的，拽个ＰＰ呀，偶根本还不甩你这种人呢～～ 就着吃的会儿，一会有断胳膊的来讨钱，一会有聋哑人还卖餐巾纸，趟８牢啊，赶紧吃好抹嘴走人，呼呼～～～～,"0,1,4","1,0,1,1,0,1,1,1",1,439
跳了快三个月啦，感觉不错，至少在锻练身体的同时还能学点舞蹈。里面的老师都蛮敬业的，前台一个短头发的MM人老好的，学员之间也很融洽，反正就是感觉氛围不错。更衣室，休息室什么的配套设施很齐全，估计应该会继续学下去的,"0,2,4,7","1,1,1,1,1,1,1,0",3,105
吃过港汇的，人民广场的，味道服务都还是可以的，结果有一次去了淮海中路一家，发现菜非常不新鲜，服务员叫上去也没反应。不知道是不是分店开的多了，不同的店水平就不一样了。,1,"1,1,1,1,1,1,1,1",0,82
"这家店刚开了没几个月，正好自己的眼镜坏了，就想着去这配一副。 看到门口的广告有，380,580,780的套餐，就进去了，进去发现这个价格都是球面的镜片，于是加了钱配了非球面的镜片，选的380的镜框，镜片又加了钱配的是可以变色的那种，最后的价格给我打了8折。 那个一个女的经理的态度还不错，但是手下的一个女员工的态度真是不敢恭维，从我一进店门就没发现这个人又什么好脸，而且给人介绍产品的时候也不热情，感觉就是你愿意配不配，感觉员工的培训做的不够好啊 话说说是30分钟可以拿的，结果带散光的要拖几天，然后配的是变色的，整整等了一个星期，这个速度也够可以的，","0,1,3","1,0,1,1,1,1,1,1",1,276
老实说环境大大好过食物，咖喱鸡色拉40元，价格不贵，可是吃了太腻！ 原味鸡（60half，118一只）真不如KFC，那个推荐的墨西哥酱料真难吃，还不如配老干妈吃！ 椰果西米露还不错，但是最后吃出一根睫毛（怎么看不像头发）哎：不堪回首！,"0,5,7","0,1,1,1,1,1,1,0",3,117
油泼扯面好吃，辣椒特别香，  凉皮面筋也挺不错，就是醋放多了点酸了点。 羊肉串太大了，不是很入味 送的炒瓜子特香，很好吃 价格也不便宜,"0,1,5","1,0,1,1,1,1,1,1",1,67
三亚凤凰机场二楼候机大厅的餐厅，去到机场刚好晚饭时间，就只有这间和另外一间小吃店。这家相对坐得舒 服点。在三亚消费了几天之后，觉得这个紫悦餐厅的快餐套餐不算贵了。看餐牌介绍这个还是一个连锁的机场 餐厅，首都机场有一家，觉得应该不会难吃吧。 点了一个酸菜肥肠套餐68块+2元的筷子纸巾费，一个海南鸡饭套餐68块+2元筷子纸巾费，一共140块。 酸菜肥肠套餐，那个配汤，紫菜汤是凉了的，而且喝一口味精味道浓郁。饭，菜都不怎么热的，味道一般。 海南鸡饭，更难吃，鸡肉是微波炉翻热出来的，既不新鲜又不好吃。 总的来说，除了座位坐着比外面舒服外，东西真的不咋地。,"0,1,2,4,6","1,1,1,1,1,1,0,1",2,276
终于过了月饼节了~~可以买鲜肉月饼了 但素但素。。。这个怎么不那么好吃呢。。。 可能是晚上做出来的不新鲜 话说排在我们前面那个男的，买了50个好像。。哇哦。。。。,"0,1","1,0,1,1,1,1,1,1",1,81
第一次来这该店，服务员上菜直接丢在桌子上，连续叫几次服务员没人应，并且其中有道菜里还有头发丝绕在其中,7,"1,1,1,1,1,1,1,0",3,50
有时候家头不开火就去吃饺子~ 这家饺子的东北味儿还是浓厚的，皮厚肉实在，一点也不缺斤少两 还有各种各样的口味供你选择，冬菇啊三鲜啊猪肉啊韭菜啊什么的都挺好吃 还可以来个猪肉炖粉条，不过没吃过正宗的不好评价，感觉味道还挺香，粉QQ的，基本都是肥肉，少许瘦肉，稍微偏油 这家米饭特别不好，硬的要命，又不是去磨牙…… 环境就比较一般了，但比苍蝇馆子要强些 上菜速度确实比较慢，有好几次等了十分钟以上！,"0,4,7","1,1,1,1,0,1,1,0",3,197
12月19日 和情操染好头发出来， 虽然吃了水果还是有点饿， 8点30分，路过快要打烊新镇江， 点了2碗小馄饨，1客招牌小笼共19米。 小馄饨只吃了肉，外圈皮没吃，味道一般般。 小笼现蒸的，汤汁味道自然， 肉比较新鲜，推荐。 我想吃春卷，下次赶早。,"0,1,4,7","0,1,1,1,1,1,1,0",3,124
周日和朋友去爬香山，累的半死人多的要命也没看到几片红叶回来了，在甘家口这边一起吃饭，就去了呷哺呷哺。 去的蛮早五点钟左右，所以没有排位。如大家所知，推荐的是麻酱小料，他家的好处就是可以无限续包，几个人可以点不同的，比如沙茶什么的，然后都可以继续加，呵呵~但沙茶有点油油的，吃一点还不错，不能吃多了。 菜品就是大家熟知的那些啦，羊肉、冻豆腐、宽粉（超级推荐）、藕片、冬瓜、豆皮、金针菇等等，味道都不错滴~ 只是我的肠胃到了秋冬真的比较脆弱，吃了麻辣烫或者火锅回去一定会拉肚子，可是又忍不住不吃辣的~~~唉唉,"0,7","1,1,1,1,1,1,1,0",3,252
没有XX鱼 没有海胆 没有XX螺 没有XX贝 好歹是国庆假期去的 才晚上5点去  好多都没有 晕了 随便吃吃算了 不新鲜 很多寿司盖子都没了 转了好几圈也不收下去  外卖的品种更少了 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 和我们拼桌子的一对蛮可爱的,1,"1,1,1,1,1,1,1,1",0,137
去的那天排队的人很长，那服务肯定也好不到哪里去了，但是服务不好的话，菜的质量你要保证啊，哎。。。简直是破坏了我心中的形象，一直觉得这家店是最大的一家，菜式算丰富的了，所以也办了张会员卡用来返利，做好长期去吃的打算，现在看来不行了 每次去，都要吃木瓜炖雪蛤，现在22了，小小的一个木瓜，打开以后，里面的汁水居然还是冰的，明显外面加热里面没加热，跟服务员提了一下，她的建议是再去加热，所以从这里可以看出，这哪里是炖出来的呀，明显就是1加1等于2了 然后是他家的汤包，居然是温的，里面已经干瘪了，没有汤水了，外面的皮也很硬。。。吃了一口，浪费了，一屉有3个呢。。。但是实在吃不下去 牛肉煎饺无功无过，因为前2道菜实在影响了胃口 金针菇肥牛，算还可以，但是也是温的，金针菇一点点，豆腐倒是挺多的 新出的米汁倒还不错，算是有点新鲜感，有点厚，一壶没几口就没了，2个人，要点2壶 积了很多分，下次准备去吃两碗米线用掉算了，哎,"0,1","0,0,1,1,1,1,1,1",1,406
团购券快过期了 不能浪费 今天和朋友去吃了 胡萝卜蛋糕的确味道不错‘ 上面一层酱酸酸的，有种很熟悉的味道  下面的蛋糕也不是很甜 里面还有核桃仁呢  感觉很营养啊哈哈 店里老外好多 很多带着IPAD来玩的 呵呵 环境还是很舒服的  对了 cheese蛋糕味道不怎样 味道不浓,"0,1,2,4","1,0,1,1,1,1,1,1",1,137
"第一次去吃是朋友請的，點了二個小火鍋(份量很足女生吃不完)、泰皇炒饭(小辣但味道不錯)、海鮮煲飯(海鮮份量很給力)，一边聊天一边吃，大家都飽的同時，吃小火鍋的朋友說""這是什么""，我靠近看，看不太出來是啥，就把調羹拿過來一看，是一隻小小小蟑螂，叫服務員來，服務員一看一臉錯愕也不知要說什麼，我就叫他拿給他們主管看，結果一去不回，過了五分鐘，買單，另一位服務員說xxx元，我回""剛剛那隻蟑螂一進去就都沒下文了""這時才又去找人，回來時說了一句對不起和打九折，錢付了我們也小声說以后不會在來了。在菜裡吃到头发、洗碗鋼絲我不會太生氣看太多了，但是有生命的不明物在裡面真的很惡心。 前幾天吃了某家的漢堡，吃到剩二口時看到肉的中間夾了一小根头发(眼力真好)，拿去給店員看，店員""對不起，馬上幫你換一個""我要的是你的主動的態度而不是被動的。 在外面吃飯就是如此，卫生是最大的問題，自已煮最干淨。",7,"1,1,1,1,1,1,1,0",3,389
去的时候人很少。 服务还是不错的，环境也还可以 只是点的多宝鱼是在是不新鲜啊，很让我失望 其他的都还可以，可能是点菜的问题吧 消费也不便宜，有点小贵 对这家店的总体评价就是一般,"0,1,5","1,0,1,1,1,0,1,1",1,88
这算是青岛的最后一顿正餐了，从石老人的沙滩直接开车过来的。事实上就是一个大排档而已，不过看起来人气很旺。海鲜还算比较新鲜，就是不太习惯这种清淡的做法，总觉得很腥。而且还有东西吃拉肚子了，印象一般般。,"0,1,7","0,1,1,1,1,1,1,0",3,99
在去的路上被告知中午的活动取消，所以该吃谭鱼头。中午人很少，4个人4斤鱼头，涮菜羊肉、千层毛肚、菠菜、豆腐、油豆皮。吃下来味道感觉好像没以前好。 ??鸳鸯锅的锅底，辣的部分，锅底的辣椒、豆瓣、花椒很不新鲜，底料不是很好。吃完我有点担心。 我说的什么意思，你们懂的,1,"1,0,1,1,1,1,1,1",1,131
"太垃圾了,这家69元的自助就是骗人的，菜色极不新鲜。 1、展示柜上的丸子都是面粉，而且一看就是放了很久的，青青肠、鱼豆腐都是干的，一个黄色的肉烧卖是酸的。放粉丝的盒子里的水都臭的，还能拉出丝刚。太恶心了。 2、饮料吧地上都是水，非常滑还有蟑螂到处爬。太恶心了。 3、进店没有服务员，叫了半天才出一个。要点菜也没人，走过厕所的时候发现服务员都在后厨房抽烟聊天。天哪，厨房可以抽烟吗？ 4、最后说他们家的烤肉，牛肉老的咬不动，培根只有咸味，鸡翅小到像鸡尖。节约也没这么节约的","1,7","1,0,1,1,1,1,1,0",3,235
说句实话，几年前奇火锅的味道还是不错的。但这几年不知为何，质量、服务齐齐下降，让人惋惜。 上次请朋友去那里吃，点的毛肚之类一点也不新鲜，年纪大点的人，嚼都嚼不动。说他这个毛肚不太新鲜，服务员就一个劲的辩解（我又不是想你退款，没必要不承认问题嘛） 从此以后，基本上不在考虑去这家吃了。还是怀念这家以前的味道。,"0,1","1,0,1,1,1,1,1,1",1,153
