text,dim_labels,sentiment_labels,risk_label
"团购的券不能用，说是节假日，但今天不是节假日啊。","5,3","1,1,1,0,1,0,1,1",2,28
"豉香排骨很入味，排骨很嫩，蒜香味也很足。","0","1,1,1,1,1,1,1,1",0,23
"服务员在桌边玩手机，叫了几次才抬头，很不专业。","3","1,1,1,0,1,1,1,1",1,26
"桂花糕很清香，桂花味很浓，甜度刚好不腻。","0","1,1,1,1,1,1,1,1",0,22
"吃的过程中发现有蟑螂在地上爬，跟服务员说他们也没当回事。","7,2","1,1,0,1,1,1,1,0",3,29
"蟹肉棒全是淀粉，一点蟹味都没有，差评。","1","1,0,1,1,1,1,1,1",2,23
"虾片很脆很香，餐前小食做得用心，很加分。","0","1,1,1,1,1,1,1,1",0,24
"火锅汤底越吃越咸，后面加汤还是咸，没法吃了。","0","0,1,1,1,1,1,1,1",1,26
"红豆沙煮得很绵密，陈皮味很足，甜度刚好。","0","1,1,1,1,1,1,1,1",0,23
"服务员给隔壁桌倒水没给我们倒，区别对待太明显了。","3","1,1,1,0,1,1,1,1",1,28
"辣炒花甲很够味，花甲很新鲜，没有沙子，很干净。","0,1","1,1,1,1,1,1,1,1",0,26
"套餐里的蔬菜不新鲜，叶子都黄了，没怎么吃。","1","1,0,1,1,1,1,1,1",2,24
"煲仔饭的锅巴很香，腊味也很多，米粒分明。","0","1,1,1,1,1,1,1,1",0,23
"地板很滑，走路要很小心，没有任何防滑措施。","2","1,1,0,1,1,1,1,1",1,24
"糖不甩很Q弹，花生碎很香，甜度适中，很好吃。","0","1,1,1,1,1,1,1,1",0,26
"店里只有两个服务员，根本忙不过来，上菜极慢。","3,4","1,1,1,0,0,1,1,1",1,27
"香煎黄花鱼煎得很香，鱼皮很脆，鱼肉很嫩。","0","1,1,1,1,1,1,1,1",0,24
"发现菜里有一根头发，叫服务员来就默默拿走了，一句话没说。","7,3","1,1,1,0,1,1,1,0",3,28
"酸辣土豆丝酸辣爽脆，刀工很好，很下饭。","0","1,1,1,1,1,1,1,1",0,23
"面包糠炸虾很大只，虾肉紧实，蘸酱也很好吃。","0,1","1,1,1,1,1,1,1,1",0,26
"等位区没有空调，大热天汗流浃背，体验很差。","2,4","1,1,0,1,0,1,1,1",1,27
"姜汁撞奶很滑嫩，姜味很足，暖胃又好吃。","0","1,1,1,1,1,1,1,1",0,23
"服务员上完菜就走，也不问要不要加饭加汤。","3","1,1,1,0,1,1,1,1",1,24
"大盘鸡份量很大，鸡肉很嫩，土豆很糯，面皮很筋道。","0,5","1,1,1,1,1,1,1,1",0,26
"烧鹅的皮不脆，肉也偏老，跟在广州吃的不一样。","0","0,1,1,1,1,1,1,1",1,26
"绿茶饼很清香，甜度刚好，外皮很酥。","0","1,1,1,1,1,1,1,1",0,20
"买单时说系统坏了只能现金，我们没带够，折腾半天。","3,5","1,1,1,0,1,0,1,1",2,28
"羊肉粉丝汤很暖，羊肉味很足，粉丝也很滑。","0","1,1,1,1,1,1,1,1",0,23
"竹笋炒肉很鲜嫩，竹笋很脆，肉片也很滑。","0","1,1,1,1,1,1,1,1",0,22
"服务员从我们头上端菜，油差点滴到头发上。","3","1,1,1,0,1,1,1,1",1,25
"芝士焗番薯很香，芝士拉丝很长，番薯很甜糯。","0","1,1,1,1,1,1,1,1",0,24
"红烧带鱼煎得很香，酱汁浓郁，很下饭。","0","1,1,1,1,1,1,1,1",0,22
"店里的椅子很矮，坐着不舒服，吃顿饭腰疼。","2","1,1,0,1,1,1,1,1",0,24
"招牌奶茶很好喝，茶底很香，奶味也很足。","0","1,1,1,1,1,1,1,1",0,23
"等了一个小时才吃到，饥饿营销玩过头了吧。","4","1,1,1,1,0,1,1,1",1,24
"酱爆鱿鱼很够味，鱿鱼很嫩，青椒洋葱都很香。","0","1,1,1,1,1,1,1,1",0,26
"看到员工在后厨门口抽烟，直接对着食材区域。","7,2","1,1,0,1,1,1,1,0",3,25
"酸梅排骨很特别，酸甜入味，排骨很嫩。","0","1,1,1,1,1,1,1,1",0,22
"服务员拖着地，拖把碰到我的脚也不管，继续拖。","3,2","1,1,0,0,1,1,1,1",1,27
"鲜虾云吞面很鲜美，云吞很大个，面也很劲道。","0,1","1,1,1,1,1,1,1,1",0,25
"菜单上很多菜都划掉了没货，想吃的都吃不到。","3","1,1,1,0,1,1,1,1",1,26
"花生炖猪脚很烂很糯，胶原蛋白满满，很滋补。","0","1,1,1,1,1,1,1,1",0,24
"服务员收茶位费，但茶水品质很差，像隔夜茶。","5","1,1,1,1,1,0,1,1",1,25
"香茅烤鸡很香，鸡肉很嫩，配的酸辣酱很解腻。","0","1,1,1,1,1,1,1,1",0,26
"吃完后嘴巴里一直有股怪味，不知道是油还是什么。","7","1,1,1,1,1,1,1,0",3,26
"油焖大虾很入味，虾很新鲜，酱汁浓稠很下饭。","0,1","1,1,1,1,1,1,1,1",0,25
"楼下在装修，很吵，电钻声不停，根本没法聊天。","2","1,1,0,1,1,1,1,1",1,26
"红豆冰沙很绵密，红豆很足，夏天喝特别解暑。","0","1,1,1,1,1,1,1,1",0,24
"叫了服务员三次都没来，最后自己去前台找的人。","3","1,1,1,0,1,1,1,1",1,27
"葱油饼很酥脆，层次分明，葱香十足。","0","1,1,1,1,1,1,1,1",0,22
"碗底有食物残渣，明显没洗干净，太不卫生了。","7,2","1,1,0,1,1,1,1,0",2,27
"蟹黄包皮很薄，汤很多，蟹黄味很浓，很鲜美。","0","1,1,1,1,1,1,1,1",0,25
"门口停车位很少，绕了好几圈才找到位置停车。","2","1,1,0,1,1,1,1,1",0,27
"腊味合蒸很香，腊肉腊肠都很够味，很下饭。","0","1,1,1,1,1,1,1,1",0,24
"吃出塑料片，像是包装袋上的，还好没有咽下去。","7","1,1,1,1,1,1,1,0",3,25
"紫菜蛋花汤很清淡，蛋花很细，紫菜也很多。","0","1,1,1,1,1,1,1,1",0,24
"服务员在备餐区大声吵架，前台都听得见，很尴尬。","3","1,1,1,0,1,1,1,1",1,26
"珍珠丸子很软糯，肉馅很香，外面裹的糯米晶莹剔透。","0","1,1,1,1,1,1,1,1",0,27
"大众点评上的评分很高，但实际吃下来很一般。","0","0,1,1,1,1,1,1,1",1,25
"炸鲜奶外酥里嫩，奶味很浓，甜度刚刚好。","0","1,1,1,1,1,1,1,1",0,24
"椅子上面有脚印，没人擦，自己拿纸巾擦干净才坐。","2","1,1,0,1,1,1,1,1",1,28
"清炒时蔬很新鲜，炒得刚好，不会太油。","0,1","1,1,1,1,1,1,1,1",0,22
"结账时发现用不了团购券，说是系统问题，但不给任何补偿。","5,3","1,1,1,0,1,0,1,1",2,30
"蒜香鸡翅很香，外皮酥脆，内里多汁。","0","1,1,1,1,1,1,1,1",0,22
"锅里的汤快干了，叫服务员加汤，很久才来。","3,4","1,1,1,0,0,1,1,1",1,25
"芦笋炒虾仁很清爽，芦笋很嫩，虾仁很弹牙。","0,1","1,1,1,1,1,1,1,1",0,25
"冰箱里的饮料不冰，像是放了很久的常温饮料。","0","0,1,1,1,1,1,1,1",0,26
"麻辣鸭头很入味，鸭头很大，麻辣味很足。","0","1,1,1,1,1,1,1,1",0,23
"服务员直接用围裙擦桌子，看了胃口全无。","3,7,2","1,1,0,0,1,1,1,0",3,26
"酸汤肥牛很开胃，金针菇和粉丝都吸饱了汤。","0","1,1,1,1,1,1,1,1",0,24
"手机扫码点餐很方便，不用等服务员过来。","3","1,1,1,1,1,1,1,1",0,22
"脆皮乳鸽很香，皮很脆，肉很嫩。","0","1,1,1,1,1,1,1,1",0,18
"上菜时盘子边上都是汤汁，流到了桌布上。","3","1,1,1,0,1,1,1,1",1,25
"五香牛肉切得很薄，很入味，配的香菜很提味。","0","1,1,1,1,1,1,1,1",0,26
"店里的桌布有异味，感觉很久没有换了。","2","1,1,0,1,1,1,1,1",1,23
"腊肉炒饭很香，腊肉很多，饭粒分明。","0","1,1,1,1,1,1,1,1",0,22
"点了一份沙拉，菜叶都蔫了，酱料也只剩一点点。","1","1,0,1,1,1,1,1,1",2,26
"葡式蛋挞外皮很酥，蛋液很滑，奶香味足。","0","1,1,1,1,1,1,1,1",0,24
"服务员收盘子太积极，朋友还没吃完就把碗收走了。","3","1,1,1,0,1,1,1,1",1,28
"酱肘子炖得很烂很入味，皮很Q弹，肉很嫩。","0","1,1,1,1,1,1,1,1",0,24
"套餐里的米饭是凉的，没有加热，直接端上来了。","0,3","0,1,1,0,1,1,1,1",1,27
"奶油蛋糕很好吃，奶油不甜腻，蛋糕体很绵密。","0","1,1,1,1,1,1,1,1",0,24
"地三鲜做得很好，茄子土豆青椒都炒得刚好。","0","1,1,1,1,1,1,1,1",0,23
"上菜时汤汁洒了一地，也没有及时清理。","3","1,1,1,0,1,1,1,1",1,23
"桂花糖藕很糯很甜，桂花味很香，很精致。","0","1,1,1,1,1,1,1,1",0,24
"吃了一口肉有酸味，明显是变质了，赶紧吐了。","1,7","1,0,1,1,1,1,1,0",3,25
"干锅手撕包菜很香，包菜很脆，五花肉很香。","0","1,1,1,1,1,1,1,1",0,25
"空调出风口对着我吹，吹得头疼，换个座位也不行。","2,3","1,1,0,0,1,1,1,1",1,28
"雪媚娘很软糯，奶油很轻，草莓很新鲜。","0,1","1,1,1,1,1,1,1,1",0,24
"门口等位的人太多了，挤得水泄不通。","2","1,1,0,1,1,1,1,1",0,22
"梅菜扣肉很香，梅菜很入味，五花肉很烂。","0","1,1,1,1,1,1,1,1",0,24
"叫服务员拿个勺子，拿了五分钟才来。","3","1,1,1,0,1,1,1,1",1,23
"煎饺皮太厚了，馅也不多，口感一般。","0","0,1,1,1,1,1,1,1",1,23
"虾滑里面吃到了虾壳碎片，很扎嘴。","1,7","1,0,1,1,1,1,1,0",3,23
"鱼头泡饼很入味，鱼头很新鲜，饼子泡汤特别好吃。","0,1","1,1,1,1,1,1,1,1",0,26
"店里的水杯有口红印，没洗干净就摆上来了。","2,7","1,1,0,1,1,1,1,0",2,27
"糖炒栗子很香糯，很好剥，很甜。","0","1,1,1,1,1,1,1,1",0,21
"菜品分量少得可怜，一个人都不够吃。","5","1,1,1,1,1,0,1,1",2,22
"芥末章鱼很新鲜，芥末味很足，很刺激。","1","1,1,1,1,1,1,1,1",0,21
"服务员全程黑脸，好像我们欠她钱一样。","3","1,1,1,0,1,1,1,1",1,24
"石锅拌饭很香，锅巴很脆，酱料也很正宗。","0","1,1,1,1,1,1,1,1",0,24
"等位时看到有人插队，服务员也不管。","3","1,1,1,0,1,1,1,1",1,23
"花生糊很香浓，是现磨的，口感很细腻。","0","1,1,1,1,1,1,1,1",0,24
"鳗鱼饭很好吃，鳗鱼很肥美，酱汁很浓。","0","1,1,1,1,1,1,1,1",0,23
"烤玉米很香，刷的酱料很够味，玉米很甜。","0","1,1,1,1,1,1,1,1",0,24
"投诉了之后经理来了，态度也不好，敷衍了事。","3","1,1,1,0,1,1,1,1",2,26
"麻辣鸡爪很入味，很软烂，一抿就脱骨了。","0","1,1,1,1,1,1,1,1",0,24
"食物里有钢丝球的金属丝，吓了一跳。","7","1,1,1,1,1,1,1,0",3,22
"绿豆糕很细腻，不会太甜，绿豆味很纯。","0","1,1,1,1,1,1,1,1",0,22
"楼上装修，灰尘掉到楼下餐桌上了，没人处理。","2","1,1,0,1,1,1,1,1",1,26
"香酥鸭很香，外皮很脆，肉很嫩，蘸酱好吃。","0","1,1,1,1,1,1,1,1",0,25
"自助区的水果不新鲜，有的已经软烂了。","1","1,0,1,1,1,1,1,1",2,24
"核桃包很香，核桃颗粒很大，馅料很足。","0","1,1,1,1,1,1,1,1",0,23
"服务员把果皮纸屑扫到我们脚边，也不道歉。","3,2","1,1,0,0,1,1,1,1",1,27
"脆皮肠粉很特别，肠粉皮薄，馅料很多。","0","1,1,1,1,1,1,1,1",0,24
"清汤火锅吃完了才发现锅底里有一只苍蝇。","7","1,1,1,1,1,1,1,0",3,24
"小炒黄牛肉很嫩，辣椒很香，很下饭。","0","1,1,1,1,1,1,1,1",0,23
"门店没有无障碍坡道，轮椅进不来。","2","1,1,0,1,1,1,1,1",0,22
"南瓜饼很糯很甜，芝麻很香，很好吃。","0","1,1,1,1,1,1,1,1",0,24
"服务员加汤时把汤洒到我手机上了，连句道歉都没有。","3,7","1,1,1,0,1,1,1,0",3,29
"葱油拌面很香，葱油味很足，面条筋道。","0","1,1,1,1,1,1,1,1",0,24
"我们点的菜被送给隔壁桌了，重新做又等了很久。","3,4","1,1,1,0,0,1,1,1",2,28
"炸薯条很脆，撒的盐刚刚好，配番茄酱好吃。","0","1,1,1,1,1,1,1,1",0,25
"店里的音响放的音乐很难听，像噪音一样。","2","1,1,0,1,1,1,1,1",0,24
"海鲜面里贝壳类的肉都掉出来了，不太新鲜。","1","1,0,1,1,1,1,1,1",2,26
"奶茶里喝出了茶叶渣，过滤没做好。","0","0,1,1,1,1,1,1,1",1,23
"罗宋汤很浓郁，蔬菜炖得很烂，牛肉也很多。","0","1,1,1,1,1,1,1,1",0,24
"服务员上菜把手指伸到盘子里了，太不卫生了。","3,7","1,1,1,0,1,1,1,0",3,26
"青椒肉丝很下饭，肉丝很嫩，青椒很脆。","0","1,1,1,1,1,1,1,1",0,23
"门口的鱼缸很脏，水里很多杂质，鱼都快死了。","2","1,1,0,1,1,1,1,1",0,27
"姜葱炒牛肉很嫩，姜葱味很足，很够锅气。","0","1,1,1,1,1,1,1,1",0,24
"结账时用了会员积分，但积分没给我扣，下次还能用。","5","1,1,1,1,1,1,1,1",0,27
"面包烤得有点焦了，有苦味，不太好吃。","0","0,1,1,1,1,1,1,1",1,24
"酸菜鱼片切得很薄很嫩，酸菜很脆，汤很鲜。","0","1,1,1,1,1,1,1,1",0,25
"大堂经理一直在打电话，处理投诉也心不在焉。","3","1,1,1,0,1,1,1,1",1,27
"素菜饺子很好吃，馅料很鲜，饺子皮很薄。","0","1,1,1,1,1,1,1,1",0,24
"发现食物上有小飞虫，叫服务员来看了一眼就走了。","7,3","1,1,1,0,1,1,1,0",3,27
"麻辣鸭脖子很够味，啃得很过瘾，很适合下酒。","0","1,1,1,1,1,1,1,1",0,26
"门口的迎宾很漂亮，但服务跟不上，中看不中用。","3","1,1,1,0,1,1,1,1",1,26
"铁板豆腐很嫩，铁板烧得很烫，酱汁很浓。","0","1,1,1,1,1,1,1,1",0,24
"汤太咸了，咸得嗓子不舒服，喝了两口就放下了。","0","0,1,1,1,1,1,1,1",1,27
"松饼很松软，蜂蜜很甜，水果也很新鲜。","0,1","1,1,1,1,1,1,1,1",0,23
"服务员直接把账单拍在桌上，态度很差。","3","1,1,1,0,1,1,1,1",1,24
"泡椒凤爪很酸辣，鸡爪很Q弹，很开胃。","0","1,1,1,1,1,1,1,1",0,24
"餐厅灯光太亮，刺眼，没有氛围感。","2","1,1,0,1,1,1,1,1",0,22
"胡椒猪肚鸡很暖胃，猪肚很脆，鸡肉很嫩。","0","1,1,1,1,1,1,1,1",0,24
"碗里吃出了沙子，硌牙，像是没洗干净。","7","1,1,1,1,1,1,1,0",3,23
"炸春卷很酥脆，馅料很足，蘸酱很好吃。","0","1,1,1,1,1,1,1,1",0,24
"服务员一直推销会员卡，很烦，影响吃饭。","3","1,1,1,0,1,1,1,1",1,25
"南瓜浓汤很细腻，南瓜味很纯，配面包很好。","0","1,1,1,1,1,1,1,1",0,25
"店里的玫瑰茶很好喝，花香浓郁，可以续杯。","0","1,1,1,1,1,1,1,1",0,24
"烤鸡翅有点焦了，但肉还是嫩的，味道还行。","0","0,1,1,1,1,1,1,1",1,26
"看到服务员用脏抹布擦餐具，直接要求换了一套。","7,3,2","1,1,0,0,1,1,1,0",3,28
"杨枝甘露很好喝，芒果很甜，西柚粒很解腻。","0","1,1,1,1,1,1,1,1",0,26
"打烊前半小时就不接待了，白跑一趟。","3","1,1,1,0,1,1,1,1",1,23
"韭菜盒子很好吃，韭菜很新鲜，皮很薄。","0","1,1,1,1,1,1,1,1",0,22
"酱料碟里面有异物，黑黑的一点，不知道是什么。","7","1,1,1,1,1,1,1,0",3,26
"扁豆焖面很香，面条很劲道，扁豆很软糯。","0","1,1,1,1,1,1,1,1",0,24
"服务员一直站在旁边看着我们吃，很不自在。","3","1,1,1,0,1,1,1,1",1,26
"绿豆沙很绵密，很解暑，冰的更好喝。","0","1,1,1,1,1,1,1,1",0,22
"点了一份意面，面条煮得不够熟，中心还是硬的。","0","0,1,1,1,1,1,1,1",1,26
"藕盒炸得很酥脆，肉馅很足，很好吃。","0","1,1,1,1,1,1,1,1",0,22
"结账时说收银员下班了，等了好久才有人来。","3","1,1,1,0,1,1,1,1",1,26



"咸蛋黄炒饭粒粒金黄，咸蛋黄味很足，虾仁也很多。","0,1","1,1,1,1,1,1,1,1",0,24
"服务员把我们的号跳过了，后面的人先进去了，等了更久。","3,4","1,1,1,0,0,1,1,1",1,28
"肥牛卷质量很好，肉质鲜嫩，涮几秒就能吃。","1","1,1,1,1,1,1,1,1",0,22
"果汁里喝出了果核碎片，差点卡到喉咙。","7","1,1,1,1,1,1,1,0",3,23
"烤茄子蒜蓉很多，很香很入味，软糯好吃。","0","1,1,1,1,1,1,1,1",0,24
"大厅里有人在抽烟，服务员看到了也没制止。","2,3","1,1,0,0,1,1,1,1",1,26
"排骨煲仔饭很香，排骨很嫩，饭焦很脆。","0","1,1,1,1,1,1,1,1",0,23
"电话预约了说不用排队，到了还是要排，白预约了。","3","1,1,1,0,1,1,1,1",2,28
"章鱼小丸子很Q弹，木鱼花很多，酱料很够味。","0","1,1,1,1,1,1,1,1",0,24
"餐具上面都是指纹印，明显没洗就摆上了。","7,2","1,1,0,1,1,1,1,0",2,26
"叉烧酥外皮很酥，叉烧馅很足，咸甜适中。","0","1,1,1,1,1,1,1,1",0,24
"等了很久的菜终于来了，但是是别人桌的，又端走了。","3,4","1,1,1,0,0,1,1,1",1,28
"牛肉炒得有点老，嚼不动，但味道还可以。","0","0,1,1,1,1,1,1,1",1,24
"龟苓膏很正宗，有中药味，降火很好，配蜂蜜好吃。","0","1,1,1,1,1,1,1,1",0,27
"店门口台阶太高了，老人上下很不方便。","2","1,1,0,1,1,1,1,1",0,23
"可乐鸡翅做得很好，可乐味很足，鸡翅很嫩滑。","0","1,1,1,1,1,1,1,1",0,24
"结账时服务员说不能分开付款，非常不方便。","3,5","1,1,1,0,1,0,1,1",1,26
"糯米烧麦很扎实，糯米很糯，香菇肉末很香。","0","1,1,1,1,1,1,1,1",0,25
"吃了一口发现虾是臭的，明显变质了，直接吐出来了。","1,7","1,0,1,1,1,1,1,0",3,27
"麻辣香锅底料很香，辣度可选，菜品丰富新鲜。","0,1","1,1,1,1,1,1,1,1",0,26
"服务员全程面无表情，像机器人一样没有温度。","3","1,1,1,0,1,1,1,1",1,26
"马蹄糕很Q弹，马蹄粒很多，甜度刚好。","0","1,1,1,1,1,1,1,1",0,22
"汤里漂着厚厚一层油，很腻，没喝几口。","0","0,1,1,1,1,1,1,1",1,23
"猪肚鸡锅底很浓白，猪肚很脆，胡椒味很足。","0","1,1,1,1,1,1,1,1",0,24
"椅子是塑料的，很轻，坐上去会晃，不太稳。","2","1,1,0,1,1,1,1,1",0,24
"海鲜粥里的虾蟹都很新鲜，粥很绵密，很暖胃。","1","1,1,1,1,1,1,1,1",0,24
"上菜极慢，隔壁桌比我们晚来都吃完了我们才上一道菜。","4","1,1,1,1,0,1,1,1",2,28
"盐酥鸡炸得很酥，九层塔很香，椒盐很够味。","0","1,1,1,1,1,1,1,1",0,24
"桌上的调料瓶都是粘粘的，没人擦，很不卫生。","2,7","1,1,0,1,1,1,1,0",2,27
"鲈鱼清蒸火候刚好，鱼肉鲜嫩，葱丝姜丝很提味。","0,1","1,1,1,1,1,1,1,1",0,26
"服务员给错了账单，多算了不少钱，查了才发现。","3,5","1,1,1,0,1,0,1,1",1,28
"菠萝炒饭很好吃，菠萝很甜，虾仁腰果都很香。","0,1","1,1,1,1,1,1,1,1",0,26
"甜品台没有补货，很多盘子都是空的。","3","1,1,1,0,1,1,1,1",1,23
"麻辣豆腐很下饭，花椒很香，豆腐很嫩。","0","1,1,1,1,1,1,1,1",0,22
"叫服务员换骨碟，说等一下，然后就一直没来。","3","1,1,1,0,1,1,1,1",1,26
"春卷皮很薄很脆，馅料是素的，清爽好吃。","0","1,1,1,1,1,1,1,1",0,24
"店里有股发霉的味道，空调吹出来的风也不好闻。","2,7","1,1,0,1,1,1,1,0",3,28
"萝卜牛腩汤很浓郁，萝卜很甜，牛腩很烂。","0","1,1,1,1,1,1,1,1",0,24
"订座时说有窗边位，到了说给了别人，只能坐中间。","3","1,1,1,0,1,1,1,1",2,28
"燕麦包很软糯，馅料很足，甜度适中。","0","1,1,1,1,1,1,1,1",0,22
"吃到一半停电了，店家没有任何解释和补偿。","3","1,1,1,0,1,1,1,1",2,25
"干煎带鱼煎得很香，鱼很新鲜，外酥里嫩。","0,1","1,1,1,1,1,1,1,1",0,24
"桌子太小了，菜都放不下，要叠起来放。","2","1,1,0,1,1,1,1,1",0,23
"藕片很脆，泡椒味很足，很开胃。","0","1,1,1,1,1,1,1,1",0,21
"服务员直接把我手机碰掉地上了，捡起来就走了。","3","1,1,1,0,1,1,1,1",1,27
"蒜蓉粉丝蒸虾很香，虾很大只，粉丝吸汁很好。","0,1","1,1,1,1,1,1,1,1",0,25
"上菜的时候菜汤洒在桌上了，没人来擦。","3","1,1,1,0,1,1,1,1",1,24
"脆皮烧肉很香，皮很脆，肉很嫩，蘸白糖吃很特别。","0","1,1,1,1,1,1,1,1",0,27
"绿植都干了没人浇水，店里的氛围很破败。","2","1,1,0,1,1,1,1,1",0,25
"奶黄包很香，奶黄馅很足，流沙效果很好。","0","1,1,1,1,1,1,1,1",0,24
"煮熟的青菜里发现了蜗牛，真是太吓人了。","7","1,1,1,1,1,1,1,0",3,24
"酱牛肉很入味，切得很薄，配的蒜泥很香。","0","1,1,1,1,1,1,1,1",0,24
"旁边桌小孩跑来跑去撞到我椅子，家长也不管。","2","1,1,0,1,1,1,1,1",0,26
"小炒肉很香，五花肉炒得焦香，辣椒也很够味。","0","1,1,1,1,1,1,1,1",0,25
"米饭上面有黑点，不知道是什么，换了一碗。","7","1,1,1,1,1,1,1,0",3,24
"蛋糕卷很松软，奶油很轻，草莓很新鲜。","0,1","1,1,1,1,1,1,1,1",0,24
"服务员收盘时把汤汁溅到我包里了，也没说对不起。","3","1,1,1,0,1,1,1,1",1,27
"烤鱼底料很香，鱼很新鲜，配菜也很丰富。","0,1","1,1,1,1,1,1,1,1",0,24
"周末人太多了，服务员忙不过来，叫都没人应。","3,4","1,1,1,0,0,1,1,1",1,27
"牛肉丸是手打的，很有弹性，牛肉味很正。","1","1,1,1,1,1,1,1,1",0,23
"店里的空调不制冷，吃顿饭出了一身汗。","2","1,1,0,1,1,1,1,1",1,24
"红糖糍粑很糯，红糖浆很浓，花生碎很香。","0","1,1,1,1,1,1,1,1",0,24
"点了一个全素套餐，结果菜里吃出了肉末。","0","0,1,1,1,1,1,1,1",1,25
"黑椒炒蟹很够味，蟹肉很饱满，黑椒味很足。","0,1","1,1,1,1,1,1,1,1",0,25
"服务员给每桌都送了小礼品，服务很贴心。","3","1,1,1,1,1,1,1,1",0,24
"牛油果沙拉很新鲜，牛油果很熟，酱汁很清爽。","0,1","1,1,1,1,1,1,1,1",0,27
"上菜时盘子边缘有缺口，割了一下手指。","2,3","1,1,0,0,1,1,1,1",1,27
"花生酥很香很脆，甜度刚好，配茶很好。","0","1,1,1,1,1,1,1,1",0,24
"包厢服务费收了10%，但服务一点也没跟上。","3,5","1,1,1,0,1,0,1,1",2,27
"烤面筋很香，调料撒得很均匀，很有嚼劲。","0","1,1,1,1,1,1,1,1",0,24
"用团购券被歧视了，服务员明显态度不一样。","3,5","1,1,1,0,1,0,1,1",2,26
"豆花鱼很嫩，鱼片很滑，豆花很入味。","0","1,1,1,1,1,1,1,1",0,23
"餐厅里面信号极差，电话都打不出去。","2","1,1,0,1,1,1,1,1",0,23
"杨梅汁是新鲜榨的，酸甜刚好，很解暑。","0","1,1,1,1,1,1,1,1",0,24
"服务员给小朋友送了气球，孩子很开心。","3","1,1,1,1,1,1,1,1",0,24
"菜里面有很多味精，吃完很渴，一直想喝水。","0","0,1,1,1,1,1,1,1",1,26
"豉油王炒面很够锅气，面条干爽，虾仁很多。","0,1","1,1,1,1,1,1,1,1",0,26
"叫了加水，服务员说好的，然后就再也没回来。","3","1,1,1,0,1,1,1,1",1,27
"韭菜炒河虾很香，河虾很鲜，韭菜很嫩。","0,1","1,1,1,1,1,1,1,1",0,24
"座位旁边就是垃圾桶，虽然盖着但味道还是很大。","2","1,1,0,1,1,1,1,1",1,27
"芝士热狗棒很好吃，芝士拉丝很长，外面的粉很脆。","0","1,1,1,1,1,1,1,1",0,26
"食材不新鲜，虾头都黑了，还拿出来卖。","1","1,0,1,1,1,1,1,1",2,24
"紫薯饼很糯很香，紫薯味很纯，不会太甜。","0","1,1,1,1,1,1,1,1",0,24
"老板很会做生意，每个客人都送了一小碟水果。","3","1,1,1,1,1,1,1,1",0,27
"点了一份毛肚，结果上来的是鸭肠，店家说弄错了。","0,3","0,1,1,0,1,1,1,1",1,27
"冰粉配料很足，红糖水很甜，花生碎很香。","0","1,1,1,1,1,1,1,1",0,24
"这家的煎包是招牌，但今天吃的感觉是回锅的。","0","0,1,1,1,1,1,1,1",1,26
"服务员对老外笑脸相迎，对中国人爱答不理。","3","1,1,1,0,1,1,1,1",2,27
"麻辣兔头很入味，兔肉很嫩，麻辣味很足。","0","1,1,1,1,1,1,1,1",0,24
"洗手间没有卫生纸了，跟服务员说也一直没加。","2","1,1,0,1,1,1,1,1",1,27
"抹茶蛋糕很好吃，抹茶味很正，不会太甜。","0","1,1,1,1,1,1,1,1",0,24
"吃完后胃不舒服，一直反酸，不知道是不是油有问题。","7","1,1,1,1,1,1,1,0",3,27
"椒麻鸡很香很麻，鸡肉很嫩，花椒味很足。","0","1,1,1,1,1,1,1,1",0,24
"服务员上菜时打喷嚏也不转头，直接对着菜。","3,7","1,1,1,0,1,1,1,0",3,26
"银耳羹炖得很软糯，冰糖放得刚好，很润喉。","0","1,1,1,1,1,1,1,1",0,25
"结账时前台一直在聊天，等了五分钟才理我。","3","1,1,1,0,1,1,1,1",1,26
"糖醋鱼柳很酥，酸甜汁很开胃，鱼肉很嫩。","0","1,1,1,1,1,1,1,1",0,24
"包间的门坏了，关不严，外面很吵。","2","1,1,0,1,1,1,1,1",0,22
"黑米糕很香很糯，甜度刚好，很有嚼劲。","0","1,1,1,1,1,1,1,1",0,24
"服务员全程没有笑容，像来讨债的一样。","3","1,1,1,0,1,1,1,1",1,25
"牛肉面里的牛肉很入味，炖得很烂，汤头也很好喝。","0","1,1,1,1,1,1,1,1",0,26
"店里的音乐太悲情了，吃饭像在参加葬礼。","2","1,1,0,1,1,1,1,1",0,25
"炸猪排很脆很香，肉很嫩，配的咖喱酱很浓。","0","1,1,1,1,1,1,1,1",0,26
"菜里有完整的牙签，一不小心就会扎到。","7","1,1,1,1,1,1,1,0",3,23
"芝士年糕火锅很浓郁，芝士很多，年糕很Q弹。","0","1,1,1,1,1,1,1,1",0,25
"服务员把我朋友点的菜说成是我点的，搞混了。","3","1,1,1,0,1,1,1,1",1,26
"酸梅鸭很入味，鸭肉很嫩，酸梅酱很解腻。","0","1,1,1,1,1,1,1,1",0,24
"吃饭过程中停电了三次，体验非常差。","3","1,1,1,0,1,1,1,1",2,24
"核桃枣糕很香，核桃很多，枣味很浓。","0","1,1,1,1,1,1,1,1",0,23
"服务员在催我们快点吃，说要关门了，但才九点。","3","1,1,1,0,1,1,1,1",1,27
"香煎豆腐很嫩，煎得很香，酱汁很入味。","0","1,1,1,1,1,1,1,1",0,24
